"numOfAnimals","numOfGrasses","numOfEmptyFields","mostPopularGenes","averageAnimalEnergy","averageAnimalLifeSpan"
"20","32","368","[1, 1, 6, 4, 4]","9","0"
"20","35","365","[1, 1, 6, 4, 4]","9","0"
"21","38","362","[1, 1, 6, 4, 4]","8","0"
"21","40","360","[1, 1, 6, 4, 4]","8","0"
"21","44","356","[1, 1, 6, 4, 4]","7","0"
"21","47","353","[1, 1, 6, 4, 4]","6","0"
"21","50","350","[1, 1, 6, 4, 4]","6","0"
"21","55","345","[1, 1, 6, 4, 4]","5","0"
"21","56","344","[1, 1, 6, 4, 4]","5","0"
"12","59","341","[1, 1, 6, 4, 4]","8","9"
"12","61","339","[1, 1, 6, 4, 4]","8","9"
"12","64","336","[1, 1, 6, 4, 4]","8","9"
"12","68","332","[1, 1, 6, 4, 4]","7","9"
"12","72","328","[1, 1, 6, 4, 4]","7","9"
"7","73","327","[1, 1, 6, 4, 4]","13","10"
"6","78","322","[1, 1, 6, 4, 4]","14","10"
"6","80","320","[1, 1, 6, 4, 4]","15","10"
"6","82","318","[1, 1, 6, 4, 4]","17","10"
"6","84","316","[1, 1, 6, 4, 4]","18","10"
"5","87","313","[1, 1, 6, 4, 4]","23","11"
"5","91","309","[1, 1, 6, 4, 4]","23","11"
"5","95","305","[1, 1, 6, 4, 4]","23","11"
"5","99","301","[1, 1, 6, 4, 4]","23","11"
"5","102","298","[1, 1, 6, 4, 4]","24","11"
"5","106","294","[1, 1, 6, 4, 4]","24","11"
"4","109","291","[1, 1, 6, 4, 4]","31","12"
"4","112","288","[1, 1, 6, 4, 4]","33","12"
"4","115","285","[1, 1, 6, 4, 4]","34","12"
"4","118","282","[1, 1, 6, 4, 4]","36","12"
"4","121","279","[1, 1, 6, 4, 4]","37","12"
"3","123","277","[1, 1, 6, 4, 4]","54","13"
"3","125","275","[1, 1, 6, 4, 4]","58","13"
"3","127","273","[1, 1, 6, 4, 4]","62","13"
"3","130","270","[1, 1, 6, 4, 4]","64","13"
"4","133","267","[1, 1, 6, 4, 4]","50","13"
"4","135","265","[1, 1, 6, 4, 4]","52","13"
"4","137","263","[1, 1, 6, 4, 4]","55","13"
"4","138","262","[1, 1, 6, 4, 4]","59","13"
"4","140","260","[1, 1, 6, 4, 4]","62","13"
"4","141","259","[1, 1, 6, 4, 4]","66","13"
"4","143","257","[1, 1, 6, 4, 4]","69","13"
"5","146","254","[1, 1, 6, 4, 4]","56","13"
"6","147","253","[1, 1, 6, 4, 4]","49","13"
